"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"IMMORENT-PAN Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RAFI Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-Raiffeisen Fachhochschule Errichtungs- und BetriebsgmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RAMON Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RASTA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-REMUS Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RIALTO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RIO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RIWA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RONDO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-RUBIN Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-SARI Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Sigre Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Smaragd Grundverwertung GmbH","Finanzinstitut","Franz-Josef-Straße 8-10",6130,"Schwaz","Österreich",,,,,,
"Immorent-Steiko Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-STIKÖ Leasing gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Theta-Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-TRIAS Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-UTO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-VBV Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-WBV Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 5",6020,"Innsbruck","Österreich",,,,,,
"IMMORENT-WEBA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMNA-Immorent Immobilienleasing GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Impuls Immobilien GmbH","Finanzinstitut","Gewerbegebiet Nord 5",5204,"Straßwalchen","Österreich",,,,,,
"Industriebeteiligungen 1989 Gesellschaft m.b.H.","Finanzinstitut","Lehargasse 1",1060,"Wien","Österreich",,,,,,
"Infrastruktur Heilbad Sauerbrunn RBI-Leasing GmbH & Co.KG.","Finanzinstitut","Hartigg. 4",7202,"Bad Sauerbrunn","Österreich",,,,,,
"INTRO Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"IR Domestic Project Development Holding GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"ISIS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Jausern-Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"JDRL Landmaschinen Vermietungs GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Julius Meinl Versicherungsservice & Leasing Gesellschaft m.b.H.","Finanzinstitut","Bauernmarkt 2",1010,"Wien","Österreich",,,,,,
"Julius Meinl Versicherungsservice & Leasing Vermögens- und Finanzierungsberatung Gesellschaft m.b.H.","Finanzinstitut","Bauernmarkt 2",1014,"Wien","Österreich",,,"+4315318845",,,
"Jura GrundverwertungsgmbH","Finanzinstitut","Sparkassenplatz 4",8010,"Graz","Österreich",,,,,,
"KALAK Erdbergstraße GmbH","Finanzinstitut","Modecenterstraße 14",1030,"Wien","Österreich",,,,,,
"Katschberg Hotel Beteiligungs GmbH & Co KG","Finanzinstitut","Polytec-Straße 1",4063,"Hörsching","Österreich",,,,,,
"KERES-Immorent Immobilienleasing GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Kienberg - Panoramastraße Errichtungs GmbH","Finanzinstitut","Schwarzstraße 13-15",5020,"Salzburg","Österreich",,,,,,
"Kinocenter Regau Errichtungs GmbH","Finanzinstitut","Rudigierstr. 5-7",4020,"Linz","Österreich",,,,,,
"KLB Baulandentwicklung GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Koch Immobilien Theobaldgasse GmbH & Co OG","Finanzinstitut","Falkstraße 25",6020,"Innsbruck","Österreich",,,,,,
"Kommunal-Infrastruktur & Immobilien Zeltweg GmbH","Finanzinstitut","Hauptplatz 8",8740,"Zeltweg","Österreich",,,,,,
"Kommunalleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"KTM Logistikzentrum GmbH","Finanzinstitut","Stallhofner Straße 3",5230,"Mattighofen","Österreich",,,,,,
"Kunsthaus Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Kutra Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"L 2 Errichtungs- und Vermietungsgesellschaft mbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,"+43512577210",,,
"LABA-IMPULS-Gebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"LABA-IMPULS-Gebäudeleasing GmbH & Co KG","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"LABA-IMPULS-IT-Leasing GmbH & Co KG","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Lagermax Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Lagev Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Landeskrankenhaus Tulln-Immobilienvermietung Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"LARGO Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Lassallestraße 7b Immobilienverwaltung GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"LD-Leasing GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"LEASFINANZ GmbH","Finanzinstitut","Shuttleworthstraße 17",1210,"Wien","Österreich",,,,,,
"Leasing - west Gesellschaft m.b.H. & Co. Kommanditgesellschaft in Liqu.","Finanzinstitut","Michael Unterguggenberger-Straße 11",6300,"Wörgl","Österreich",,,,,,
"Leasing Unterland Gesellschaft m.b.H.","Finanzinstitut","Arkadenplatz 6/1",6330,"Kufstein","Österreich",,,,,,
"Leasing Unterland Gesellschaft m.b.H. Kommanditgesellschaft I","Finanzinstitut","Arkadenplatz 6/1",6330,"Kufstein","Österreich",,,,,,
"Leasinggesellschaft der Autobank GmbH","Finanzinstitut","Ungargasse 64, Stiege 3, Top 403",1030,"Wien","Österreich",,,,,,
"LEDA-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,"+431588945000",,,
"Legato Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"LeiKi Immo Projekt Beta GmbH","Finanzinstitut","Porschestraße 7",3100,"St. Pölten","Österreich",,,,,,
"LeiKi Immo Projekt Delta GmbH","Finanzinstitut","Porschestraße 7",3100,"St. Pölten","Österreich",,,,,,
"LeiKi Immo Projekt Gamma GmbH","Finanzinstitut","Porschestraße 7",3100,"St. Pölten","Österreich",,,,,,
"LeiKi Immo-Projekt Alpha GmbH","Finanzinstitut","Porschestraße 7",3100,"St. Pölten","Österreich",,,,,,
"Lelev Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"LIBRA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Liegenschaftstreuhand GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"LINO Hotel-Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Lipark Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"LITUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Liva Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"LKW-Zentrum Radfeld Liegenschaftsverwaltung GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"LogCap-IR Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Lugner Immo GmbH","Finanzinstitut","Gablenzgasse 11",1150,"Wien","Österreich",,,,,,
"LYRA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"M. A. V. 7., Bank Austria Leasing Bauträger GmbH & Co. OG.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"m quadrat immobilienleasing gmbh","Finanzinstitut","Kärntnerstraße 10/5",1010,"Wien","Österreich",,,,,,
"MAN Financial Services GesmbH","Finanzinstitut","Möbelstraße 12, Top 11 A",5301,"Eugendorf","Österreich",,,,,,
"MBC Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"MEKLA Leasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"MELIKERTES Raiffeisen-Mobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Menuett Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Mercedes-Benz Financial Services Austria GmbH","Finanzinstitut","Himmelreich 1",5020,"Salzburg","Österreich",,,,,,
"Merula Beteiligungs GmbH","Finanzinstitut","Rathen 20",4081,"Hartkirchen (OÖ)","Österreich",,,,,,
"Metahof Errichtungsgesellschaft mbH","Finanzinstitut","Millöckergasse 16",8010,"Graz","Österreich",,,,,,
"METIS Grundstückverwaltungs GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"MIRA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"MJ Hotelbetrieb GmbH","Finanzinstitut","Ungargasse 60",1030,"Wien","Österreich",,,,,,
"MM Omega Projektentwicklungs GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"MOBIX Raiffeisen-Mobilien-Leasing AG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"MOBIX Vermögensverwaltungsges.m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Mögra Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"""Mongala"" Beteiligungsverwaltung GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"MOVEO Raiffeisen-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Multiversum Schwechat Eigentums GmbH","Finanzinstitut","Möhringgasse 2-4",2320,"Schwechat","Österreich",,,,,,
"Nage Lokalvermietungsgesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"""Nare"" Grundstücksverwertungs-Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"NAXOS-Immorent Immobilienleasing GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"NEMUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NEUROM Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Niederösterreichische Landes-Landwirtschaftskammer Errichtungs- und Betriebsgesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NÖ. HYPO LEASING AGILITAS Grundstücksvermietung Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING ASTEWOG Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING ASTRICTA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"NÖ. HYPO LEASING FIRMITAS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING GERUSIA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING Landeskliniken Equipment GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING MEATUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING MENTIO Grundstücksvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St.Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING NITOR Grundstücksvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING STRUCTOR Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO Leasing und Raiffeisen-Immobilien-Leasing Traisenhaus GesmbH & Co OG","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ. HYPO LEASING URBANITAS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"N.Ö. Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NÖ Raiffeisen Kommunalprojekte Service Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NÖ Raiffeisen Kommunalprojekte Service Gesellschaft m.b.H. & NÖ.HYPO Leasinggesellschaft m.b.H. - Strahlentherapie OG","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ Raiffeisen-Leasing Gemeindeimmobilienservice GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NÖ Raiffeisen-Leasing Gemeindeprojekte Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NÖ. Verwaltungszentrum - Verwertungsgesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"NÖ-KL Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"NOVA HYPO Leasing GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"ÖAMTC-Leasing GmbH & Co KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Oberbank airplane 2 Leasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Arsenal Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Bergbahnen Leasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Eugendorf Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank FSS Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Immobilie-Bergheim Leasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank KB Leasing Gesellschaft m.b.H.","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Kfz-Leasing GmbH","Finanzinstitut","Hauptplatz 10-11",4010,"Linz","Österreich",,,,,,
"OBERBANK LEASING GESELLSCHAFT MBH.","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Leobendorf Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank LIV Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank MLC - Pernau Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Operating Mobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Operating OPR Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Pernau Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Riesenhof Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Seiersberg Immobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank TREI Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Unterpremstätten Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Weißkirchen Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank Wiener Neustadt Immobilienleasing GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberbank-Kremsmünster Immobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Oberösterreichische Kfz-Leasing Gesellschaft m.b.H.","Finanzinstitut","Schillerstr. 68",4020,"Linz","Österreich",,,,,,
"Objekt Leasing Unterland GmbH KG","Finanzinstitut","Arkadenplatz 6/1",6330,"Kufstein","Österreich",,,,,,
"Objekt-Lease Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"ÖBV Realitäten GmbH","Finanzinstitut","Grillparzerstraße 11",1016,"Wien","Österreich",,,,,,
"Oct Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"OCTANOS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"OLG Handels- und Beteiligungsverwaltungsgesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Ölim-Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 4",8010,"Graz","Österreich",,,,,,
"OMEGA Liegenschaftsverwertungs-II Gesellschaft m.b.H.","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"OÖ Hypo Facility Management GmbH","Finanzinstitut","Landstr. 38",4020,"Linz","Österreich",,,,,,
"OÖ Hypo Leasinggesellschaft m.b.H.","Finanzinstitut","Landstr. 38",4020,"Linz","Österreich",,,,,,
"OÖ HYPO-IMPULS Leasing GmbH","Finanzinstitut","Landstr. 38",4020,"Linz","Österreich",,,,,,
"O.Ö. Kommunalgebäude-Leasing Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"O.Ö. Kommunal-Immobilienleasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"O.Ö. Leasing für Gebietskörperschaften Ges.m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"O.Ö. Leasing für öffentliche Bauten Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"OREST-Immorent Leasing GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,"+431588945000",,,
"ORION Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"OSG Immobilienhandels G.m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"OVIS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Palatin Grundstückverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"PARO Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"PAROS-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"PEGA Raiffeisen-Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Pelias Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"PELOPS Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Piana Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"PINUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Pischeldorfer Straße 221 Liegenschaftsverwertungs GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"PLANA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Point Leasing A GmbH","Finanzinstitut","Forellenweg 12/3",6392,"St. Jakob in Haus","Österreich",,,,,,
"PONOS-Immorent Immobilienleasing GmbH","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Posato Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"POWER TOWER GmbH","Finanzinstitut","Hauptplatz 10-11",4020,"Linz","Österreich",,,,,,
"Prelude Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Priamos Grundstücksgesellschaft m.b.H.","Finanzinstitut","Siemensstraße 90",1210,"Wien","Österreich",,,"+431588945000",,,
"Projekt Blumau Tower Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Projekt Eberstalzell Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Projekt-Lease Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Propria Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"PROVENTUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"P.S.K. IMMOBILIENLEASING GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"PT Immobilienleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Purge Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"QUADEC Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Quart Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Quint Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Quirinal Grundstücksverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Raiffeisen - Anlagenvermietung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen - Leasing Gesellschaft m.b.H. & Co KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen Burgenland Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen Leasing-Projektfinanzierung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,"+431716012109",,,
"Raiffeisen Rehazentrum Schruns Immobilienleasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen Salzburg Anlagenleasing GmbH","Finanzinstitut","Schwarzstraße 13-15",5020,"Salzburg","Österreich",,,,,,
"Raiffeisen Salzburg Immobilienleasing GmbH","Finanzinstitut","Schwarzstraße 13-15",5020,"Salzburg","Österreich",,,,,,
"Raiffeisen Wohnbauleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
