Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Ebene,E-Mail,Tel,Fax,Pruefung
educom,edustore GmbH,Infrastruktur,Mobilfunk,Universitätsstraße 4/5,1090,Wien,Privat,customerservice@educom.at,+431961074850,+431961074833,24.08.2020
eety,Hutchison Drei Austria GmbH,Infrastruktur,Mobilfunk,Brünner Straße 52,1210,Wien,Privat,info@eety.at,,,24.08.2020
spusu,MASS Response Service GmbH,Infrastruktur,Mobilfunk,"DC Tower 1, 38. Stock, Donau-City-Straße 7",1220,Wien,Privat,office@spusu.at,+436706701000,,24.08.2020
Compass,Compass-Verlag GmbH,Infrastruktur,Telefonbuchverlag,Matznergasse 17,1140,Wien,Privat,office@compass.at,+43198116113,+43198116118,06.09.2020
FirmenABC,FirmenABC Marketing GmbH,Infrastruktur,Telefonbuchverlag,Strass 1,5301,Eugendorf,Privat,office@firmenabc.at,+43622520810,+4362252081020,06.09.2020
Heise RegioConcept,Heise RegioConcept GmbH & Co. KG,Infrastruktur,Telefonbuchverlag,Franz-Fritsch-Straße 11,4600,Wels,Privat,office@telefonbuchverlag.at,+43724220883000,+43724220883090,06.09.2020
Herold,Herold Business Data GmbH,Infrastruktur,Telefonbuchverlag,Guntramsdorfer Straße 105,2340,Mödling,Privat,kundenservice@herold.at,+4322364010,+4322364018,06.09.2020
OÖVV,OÖ Verkehrsverbund-Organisations GmbH Nfg. & Co KG,Infrastruktur,Verkehr,Volksgartenstraße 23,4020,Linz,Privat,office@ooevg.at,+437326610100,+4373266101030,06.09.2020
SVV,Salzburger Verkehrsverbund GmbH,Infrastruktur,Verkehr,"Schallmooser Hauptstraße 10, Postfach 74",5027,Salzburg,Privat,office@salzburg-verkehr.at,+43662632900,+43662875787111,06.09.2020
VOR,Verkehrsverbund Ost-Region (VOR) GmbH,Infrastruktur,Verkehr,Europaplatz 3/3,1150,Wien,Privat,office@vor.at,+431955550,+431955551122,06.09.2020
VST,Verkehrsverbund Steiermark GmbH,Infrastruktur,Verkehr,Friedrichgasse 13,8010,Graz,Privat,office@verbundlinie.at,+433168121380,+433168121383,06.09.2020
VVK,Verkehrsverbund Kärnten GesmbH,Infrastruktur,Verkehr,Bahnhofplatz 5,9020,Klagenfurt am Wörthersee,Privat,datenschutz@vkgmbh.at,+434635461821,+434635461830,06.09.2020
VVT,Verkehrsverbund Tirol GesmbH,Infrastruktur,Verkehr,Sterzinger Straße 3,6020,Innsbruck,Privat,info@vvt.at,+43512575858,+4351257585833,06.09.2020
VVV,Verkehrsverbund Vorarlberg GmbH,Infrastruktur,Verkehr,Herrengasse 10-12,6800,Feldkirch,Privat,info@vmobil.at,+43552283951,+43552273973,06.09.2020
Wiener Linien,Wiener Linien GmbH & Co KG,Infrastruktur,Verkehr,Erdbergstraße 202,1030,Wien,Privat,post@wienerlinien.at,+43179090,+431790924609,24.08.2020
share now,car2go Österreich GmbH,Infrastruktur,Verkehr,Hintere Zollamtsstraße 9,1030,Wien,Privat,servus@share-now.com,+4312677111,,24.08.2020
ÖBB,ÖBB Personenverkehrs AG,Infrastruktur,Verkehr,Am Hauptbahnhof 2,1100,Wien,Privat,impressum@pv.oebb.at,+431930000,,24.08.2020
Österreichische Post,Österreichische Post Aktiengesellschaft,Infrastruktur,Zustellung,Rochusplatz 1,1030,Wien,Privat,kundenservice@post.at,+43577670,+435776722071,24.08.2020
Alevitische Glaubensgemeinschaft,Alevitische Glaubensgemeinschaft in Österreich,Interessensvertretung,Religionsgemeinschaft,Schererstraße 4,1210,Wien,Privat,info@evang.at,+436602852624,,18.08.2020
Alt-Alevitische Glaubensgemeinschaft,Alt-Alevitische Glaubensgemeinschaft in Österreich,Interessensvertretung,Religionsgemeinschaft,Kennergasse 10/R1,1100,Wien,Privat,info@alt-aleviten.at,,,18.08.2020
Altkatholische Kirche,Altkatholische Kirche Österreich,Interessensvertretung,Religionsgemeinschaft,Schottenring 17,1010,Wien,Privat,kirchenleitung@altkatholiken.at,+4313178394,,18.08.2020
Armenisch-apostolische Kirche,Armenisch-apostolische Kirche in Österreich ,Interessensvertretung,Religionsgemeinschaft,Kolonitzgasse 11,1030,Wien,Privat,office@aakg.at,+4317180965,+4318906886,18.08.2020
Bahá´í-Religionsgemeinschaft,Bahá´í-Religionsgemeinschaft in Österreich ,Interessensvertretung,Religionsgemeinschaft,Maroltingergasse 2,1140,Wien,Privat,ngr@at.bahai.org,+4314791153,+431479115319,18.08.2020
Buddhistische Religionsgesellschaft,Österreichische Buddhistische Religionsgesellschaft ,Interessensvertretung,Religionsgemeinschaft,Fleischmarkt 16,1010,Wien,Privat,office@buddhismus-austria.at,+4315123719,+431512371913,18.08.2020
Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen,Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen in Österreich ,Interessensvertretung,Religionsgemeinschaft,Mariahilferstraße 49/2/30,1060,Wien,Privat,wien@christengemeinschaft.at,+4315871287,,18.08.2020
Evangelisch-methodistische Kirche,Evangelisch-methodistische Kirche in Österreich,Interessensvertretung,Religionsgemeinschaft,Sechshauser Straße 56/1/9,1150,Wien,Privat,superintendent@emk.at,+4316045347,,18.08.2020
Evangelische Kirche A.B. und H.B.,Evangelische Kirche A.B. und H.B.,Interessensvertretung,Religionsgemeinschaft,Severin-Schreiber-Gasse 1+3,1180,Wien,Privat,info@evang.at,+4359151700,,18.08.2020
Freikirchen in Österreich,Freikirchen in Österreich,Interessensvertretung,Religionsgemeinschaft,Karl-Popper-Straße 16,1100,Wien,Privat,datenschutz@freikirchen.at,+4319436714,,18.08.2020
Griechisch-orientalische Kirche,Griechisch-orientalische Kirche,Interessensvertretung,Religionsgemeinschaft,Fleischmarkt 13,1010,Wien,Privat,office@orthodoxe-kirche.at,+4315333889,+4315333889,18.08.2020
Hinduistische Religionsgesellschaft,Hinduistische Religionsgesellschaft in Österreich ,Interessensvertretung,Religionsgemeinschaft,Lammgasse 1,1080,Wien,Privat,info@hroe.at,,,18.08.2020
Islamisch-Schiitische Glaubensgemeinschaft,Islamisch-Schiitische Glaubensgemeinschaft in Österreich,Interessensvertretung,Religionsgemeinschaft,Pezzlgasse 58,1170,Wien,Privat,office@schia.at,+43699111979350,,18.08.2020
Islamische Glaubensgemeinschaft,Islamische Glaubensgemeinschaft in Österreich,Interessensvertretung,Religionsgemeinschaft,Bernardgasse 5,1070,Wien,Privat,office@derislam.at,+4315263122,+43152631222,18.08.2020
Israelitische Religionsgesellschaft,Israelitische Religionsgesellschaft,Interessensvertretung,Religionsgemeinschaft,Seitenstettengasse 4,1010,Wien,Privat,office@ikg-wien.at,+431531040,+43153104108,18.08.2020
Jehovas Zeugen,Jehovas Zeugen in Österreich,Interessensvertretung,Religionsgemeinschaft,Kaiserstrasse 36/25,1070,Wien,Privat,Pid-at.de@jw.org,+4318045345,,18.08.2020
Katholische Kirche,Katholische Kirche,Interessensvertretung,Religionsgemeinschaft,Rotenturmstraße 2,1010,Wien,Privat,sekretariat@bischofskonferenz.at,+431516111010,+431516111037,18.08.2020
Kirche Jesu Christi der Heiligen der letzten Tage,Kirche Jesu Christi der Heiligen der letzten Tage (Mormonen) in Österreich,Interessensvertretung,Religionsgemeinschaft,Böcklinstraße 55,1020,Wien,Privat,info@hlt.at,+436641351715,+431890629315,18.08.2020
Kirche der Siebenten-Tags-Adventisten,Kirche der Siebenten-Tags-Adventisten in Österreich ,Interessensvertretung,Religionsgemeinschaft,Prager Straße 287,1210,Wien,Privat,office@adventisten.at,+4313199301,+4313199301199,18.08.2020
Koptisch-orthodoxe Kirche,Koptisch-orthodoxe Kirche in Österreich,Interessensvertretung,Religionsgemeinschaft,Quadenstrasse 4-6,1220,Wien,Privat,info@kopten.at,+4312827443,+4312827443,18.08.2020
Neuapostolische Kirche,Neuapostolische Kirche in Österreich,Interessensvertretung,Religionsgemeinschaft,"Mittersteig 10, Postfach 49",1050,Wien,Privat,info@nak.at,+4315860521,+431586052130,18.08.2020
Pfingstkirche Gemeinde Gottes,Pfingstkirche Gemeinde Gottes in Österreich,Interessensvertretung,Religionsgemeinschaft,Maculangasse 9,1220,Wien,Privat,office@gemeindegottes.at,,,18.08.2020
Syrisch-orthodoxe Kirche,Syrisch-orthodoxe Kirche in Österreich,Interessensvertretung,Religionsgemeinschaft,Stefan-Fadinger-Platz 1,1100,Wien,Privat,,+4318040916,,18.08.2020
Vereinigte Pfingstkirche,Vereinigte Pfingstkirche Österreichs (VPKÖ),Interessensvertretung,Religionsgemeinschaft,Simmeringer Hauptstraße 2,1110,Wien,Privat,office@vpkoe.at,,,18.08.2020
Vereinigungskirche,Vereinigungskirche in Österreich,Interessensvertretung,Religionsgemeinschaft,Seidengasse 28/4,1070,Wien,Privat,office@vereinigungskirche.at,+436645238794,,18.08.2020
AKS,"Aktion kritischer Schüler_innen, Bundesorganisation",Verein,Interessensvertretung,Amtshausgasse 4,1050,Wien,Privat,aks@aks.at,+431523124331,,24.08.2020
Amnesty,Amnesty International Österreich,Verein,Interessensvertretung,Lerchenfelder Gürtel 43/4/3,1160,Wien,Privat,office@amnesty.at,+43178008,+4317800844,24.08.2020
NOYB,NOYB - Europäisches Zentrum für digitale Rechte,Verein,Interessensvertretung,Goldschlagstraße 172/4/2,1140,Wien,Privat,info@noyb.eu,,,24.08.2020
Reporter ohne Grenzen,Reporter ohne Grenzen Österreich,Verein,Interessensvertretung,Helferstorferstraße 5,1010,Wien,Privat,info@rog.at,+436642546847,,24.08.2020
Schülerunion,Schülerunion Österreich,Verein,Interessensvertretung,Lichtenfelsgasse 7,1010,Wien,Privat,service@schuelerunion.at,+436649601571,,06.09.2020
ÖSV,Österreichischer Skiverband,Verein,Interessensvertretung,Olympiastraße 10,6020,Innsbruck,Privat,info@oesv.at,+43512335010,+43512361998,24.08.2020
ÖVSV,Österreichischer Versuchssenderverband – Dachverband,Verein,Interessensvertretung,"Industriezentrum NÖ-Süd, Straße 14, Objekt 31",2351,Wiener Neudorf,Privat,oevsv@oevsv.at,+4319992132,+4319992133,24.08.2020
ASBÖ,Arbeiter-Samariter-Bund Österreichs,Verein,NGO,Hollergasse 2-6,1150,Wien,Privat,info@samariterbund.net,+43189145226,+43189145149,24.08.2020
C3W,Chaos Computer Club Wien,Verein,NGO,Rathausstraße 6,1010,Wien,Privat,buero@c3w.at,,,24.08.2020
Global2000,GLOBAL 2000/Friends of the Earth Austria,Verein,NGO,Neustiftgasse 36,1070,Wien,Privat,office@global2000.at,+4318125730,+4318125728,24.08.2020
Greenpeace,Greenpeace in Zentral- und Osteuropa,Verein,NGO,Wiedner Hauptstraße 120-124,1050,Wien,Privat,service@greenpeace.at,+4315454580,,24.08.2020
Pro mente,Österreichischer Dachverband für Vereine und Gesellschaften für psychische und soziale Gesundheit,Verein,NGO,Johann-Konrad-Vogel-Straße 13,4020,Linz,Privat,office@promenteaustria.at,+43732785397,,24.08.2020
Rotes Kreuz,Österreichisches Rotes Kreuz,Verein,NGO,Wiedner Hauptstraße 32,1041,Wien Postfach,Privat,service@roteskreuz.at,+431589000,+43158900199,24.08.2020
Skywarn,SKYWARN Austria - Organisation für mobile Unwettermeldungen und Wetterbeobachtung in Österreich,Verein,NGO,Weißenbachstraße 7,4541,Adlwang,Privat,office@skywarn.at,,,24.08.2020
WWF,Umweltverband WWF Österreich (WORLD WIDE FUND FOR NATURE),Verein,NGO,Ottakringer Straße 114-116,1160,Wien,Privat,wwf@wwf.at,+431488170,+4314881744,24.08.2020
metalab,Verein zur Förderung der Erforschung und Bildung sozialer und technischer Innovationen – metalab,Verein,NGO,Rathausstraße 6,1010,Wien,Privat,core@metalab.at,+43720002323,,24.08.2020
Ärzte ohne Grenzen,Ärzte ohne Grenzen Österreich,Verein,NGO,Taborstraße 10,1020,Wien,Privat,datenschutz@aerzte-ohne-grenzen.at,+4314097276,+431409727640,24.08.2020
ARBÖ,"Auto-, Motor- und Radfahrerbund Österreichs, Bundesorganisation",Verein,Verkehr,Johann-Böhm-Platz 1,1020,Wien,Privat,info@arboe.at,+431891210,+43189121236,24.08.2020
ÖAMTC,"Österreichischer Automobil-, Motorrad- und Touringclub",Verein,Verkehr,Baumgasse 129,1030,Wien,Privat,office@oeamtc.at,+431711990,,24.08.2020
Smart Insurance,Smart Insurance & IT Solutions GmbH,Versicherung,Dienstleister,Brigittenauer Lände 50-54,1203,Wien,Privat,office@smart-versicherung.at,+43502221919,,07.09.2020
durchblicker.at,YOUSURE Tarifvergleich GmbH,Versicherung,Dienstleister,Salzgries 15,1010,Wien,Privat,datenschutz@durchblicker.at,+4313060900,+43130609009,07.09.2020
ARAG,ARAG SE,Versicherung,Versicherung,"Favoritenstraße 36, Postfach 71",1041,Wien Postfach,Privat,info@arag.at,+431531020,+431531000000,07.09.2020
ARGUS,Radlobby ARGUS,Versicherung,Versicherung,Frankenberggasse 11,1040,Wien,Privat,service@argus.or.at,+4315050907,+431505000000,07.09.2020
Allianz Elementar Versicherung,Allianz Elementar Versicherungs-AG,Versicherung,Versicherung,Hietzinger Kai 101-105,1130,Wien,Privat,office@allianz.at,+431878070,+4318780000000,07.09.2020
Allianz Travel,AWP P&C S.A.,Versicherung,Versicherung,Pottendorfer Straße 23-25,1120,Wien,Privat,service.at@allianz.com,+431525030,+43152503999,07.09.2020
D.A.S.,D.A.S. Rechtsschutz AG,Versicherung,Versicherung,Hernalser Gürtel 17,1170,Wien,Privat,office@das.at,+431386300,+431405000000,07.09.2020
Donau Versicherung,DONAU Versicherung AG Vienna Insurance Group,Versicherung,Versicherung,Schottenring 15,1010,Wien,Privat,donau@donauversicherung.at,+435033000000,,07.09.2020
ERGO,ERGO Versicherung Aktiengesellschaft,Versicherung,Versicherung,Modecenterstraße 17,1110,Wien,Privat,office@ergo-versicherung.at,+431274440,+431274000000,07.09.2020
Europäische Reiseversicherung,Europäische Reiseversicherung AG,Versicherung,Versicherung,Kratochwjlestraße 4,1220,Wien,Privat,info@europaeische.at,+4313172500,+4313199367,07.09.2020
Generali,Generali Versicherung AG,Versicherung,Versicherung,"Landskrongasse 1-3, Postfach 172",1010,Wien,Privat,office.at@generali.com,+431534010,+431532000000000,07.09.2020
Grazer Wechselseitige,Grazer Wechselseitige Versicherung Aktiengesellschaft,Versicherung,Versicherung,Herrengasse 18-20,8010,Graz,Privat,service@grawe.at,+4331680000000,+4331680000000,07.09.2020
HDI Lebensversicherung,HDI Lebensversicherung AG,Versicherung,Versicherung,"Dresdner Straße 91, BIG BIZ C2, 3. OG",1200,Wien,Privat,office@hdi-leben.at,+431207090,+4312070999,07.09.2020
HDI Versicherung,HDI Versicherung AG ,Versicherung,Versicherung,Edelsinnstraße 7-11 ,1120,Wien,Privat,office@hdi.at,+435090530,+4350910000000,07.09.2020
Helvetia,Helvetia Versicherungen AG,Versicherung,Versicherung,Hoher Markt 10 - 11,1010,Wien,Privat,info@helvetia.at,+43502221000,+435022000000,07.09.2020
Kärntner Landesversicherung,Kärntner Landesversicherung auf Gegenseitigkeit,Versicherung,Versicherung,Domgasse 21,9020,Klagenfurt am Wörthersee,Privat,anfragen@klv.at,+4346358180,+434636000000,07.09.2020
LAMIE,LAMIE AG lifestyle insurance services,Versicherung,Versicherung,Hasnerstraße 2,4020,Linz,Privat,office@lamie-direkt.at,+437322596,+43732259660,07.09.2020
Merkur Versicherung,Merkur Versicherung Aktiengesellschaft,Versicherung,Versicherung,Conrad-von-Hötzendorf-Straße 84,8010,Graz,Privat,merkur@merkur.at,+4331680340,+4331680000000,07.09.2020
Muki,muki Versicherungsverein auf Gegenseitigkeit,Versicherung,Versicherung,Wirerstraße 10,4820,Bad Ischl,Privat,office@muki.com,+43506651000,+43506654200,07.09.2020
Niederösterreichische Versicherung,Niederösterreichische Versicherung AG,Versicherung,Versicherung,Neue Herrengasse 10,3100,St. Pölten,Privat,info@nv.at,+43274290130,+43274290136395,08.09.2020
Oberösterreichische Versicherung,Oberösterreichische Versicherung AG,Versicherung,Versicherung,Gruberstraße 32,4020,Linz,Privat,office@ooev.at,+4357891710,+435789000000,07.09.2020
R+V,R+V Allgemeine Versicherung AG,Versicherung,Versicherung,Wilhelmstraße 68,1120,Wien,Privat,info@ruv.at,+43181053330,+4318110000000,07.09.2020
ROLAND,ROLAND Rechtsschutz-Versicherungs-AG,Versicherung,Versicherung,Mariannengasse 14,1090,Wien,Privat,roland.info@roland-rechtsschutz.at,+43171877330,+431719000000,07.09.2020
Tiroler Versicherung,TIROLER VERSICHERUNG V.a.G.,Versicherung,Versicherung,Wilhelm-Greil-Straße 10,6020,Innsbruck,Privat,mail@tiroler.at,+4351253130,+4351250000000,07.09.2020
UNIQA,UNIQA Österreich Versicherungen AG,Versicherung,Versicherung,Untere Donaustraße 21,1029,Wien,Privat,info@uniqa.at,+4350677670,+4350677676,07.09.2020
VAV,VAV Versicherungs-Aktiengesellschaft,Versicherung,Versicherung,Münzgasse 6,1030,Wien,Privat,info@vav.at,+431716070,+43171607100,07.09.2020
Verkehrsclub Österreich,Verkehrsclub Österreich,Versicherung,Versicherung,Bräuhausgasse 7-9,1050,Wien,Privat,vcoe@vcoe.at,+4318932697,,07.09.2020
Wiener Städtische,WIENER STÄDTISCHE Versicherung AG Vienna Insurance Group,Versicherung,Versicherung,"Schottenring 30, Postfach 80",1011,Wien Postfach,Privat,kundenservice@wienerstaedtische.at ,+435035000000,,07.09.2020
Wüstenrot,Bausparkasse Wüstenrot AG,Versicherung,Versicherung,Alpenstraße 70,5020,Salzburg,Privat,office@wuestenrot.at,+4357070100,+4357070109,07.09.2020
Zurich Connect,Zürich Versicherungs-Aktiengesellschaft,Versicherung,Versicherung,Schwarzenbergplatz 15,1010,Wien,Privat,office@zurich-connect.at,+431801000000,+431960000000,07.09.2020
Zuricher Versicherung,Zürich Versicherungs-Aktiengesellschaft,Versicherung,Versicherung,Schwarzenbergplatz 15,1010,Wien,Privat,service@at.zurich.com,+431801000000,+431801000000,07.09.2020
Österreichische Beamtenversicherung,"Österreichische Beamtenversicherung, Versicherungsverein auf Gegenseitigkeit",Versicherung,Versicherung,Grillparzerstraße 11,1016,Wien,Privat,service@oebv.com,+4359808,,07.09.2020
BH Hallein,Bezirkshauptmannschaft Hallein,Bezirksbehörde,Administration,Schwarzstraße 14,5400,Hallein,Salzburg,bh-hallein@salzburg.gv.at,+4362457960,+4362457966019,25.08.2020
BH Salzburg-Umgebung,Bezirkshauptmannschaft Salzburg-Umgebung,Bezirksbehörde,Administration,Karl-Wurmb-Straße 17,5020,Salzburg,Salzburg,bh-sl@salzburg.gv.at,+4366281800,+4366281805719,06.09.2020
BH St. Johann,Bezirkshauptmannschaft St. Johann,Bezirksbehörde,Administration,Hauptstraße 1,5600,St. Johann im Pongau,Salzburg,bh-st-johann@salzburg.gv.at,+4364126101,+43641261016219,25.08.2020
BH Tamsweg,Bezirkshauptmannschaft Tamsweg,Bezirksbehörde,Administration,Kapuzinerplatz 1,5580,Tamsweg,Salzburg,bh-tamsweg@salzburg.gv.at,+43647465410,+43647465416519,25.08.2020
BH Zell am See,Bezirkshauptmannschaft Zell am See,Bezirksbehörde,Administration,Postfach 130 ,5700,Zell am See,Salzburg,bh-zell@salzburg.gv.at,+4365427600,+4365427606719,25.08.2020
Bildungsdirektion Salzburg,Bildungsdirektion Salzburg,Bildung,Behörde,Mozartplatz 8-10,5010,Salzburg,Salzburg,homepage@bildung-sbg.gv.at,+436628083,+4366280831099,19.08.2020
LBS Hallein,Landesberufsschule Hallein,Bildung,Berufsschule,Weisslhofweg 5,5400,Hallein,Salzburg,direktion@lbs-hallein.salzburg.at,+436245803360,,12.09.2020
LBS Kuchl,Landesberufsschule Kuchl,Bildung,Berufsschule,Markt 332,5431,Kuchl,Salzburg,sekretariat@lbs-kuchl.salzburg.at,+4362446077,+436244607725,12.09.2020
LBS Obertrum,Landesberufsschule Obertrum,Bildung,Berufsschule,Mattigtalstraße 10,5162,Obertrum am See,Salzburg,direktion@lbs-obertrum.salzburg.at,+43621983040,+436219830414,12.09.2020
LBS Salzburg 1,Landesberufsschule Salzburg 1,Bildung,Berufsschule,Makartkai 3,5020,Salzburg,Salzburg,sekretariat@lbs1.salzburg.at,+436624316890,+43662431689139,12.09.2020
LBS Salzburg 2,Landesberufsschule Salzburg 2,Bildung,Berufsschule,Makartkai 1,5020,Salzburg,Salzburg,sekretariat@lbs2.salzburg.at,+436624321510,+436624321511205,12.09.2020
LBS Salzburg 3,Landesberufsschule Salzburg 3,Bildung,Berufsschule,Erzherzog-Eugen-Straße 15,5020,Salzburg,Salzburg,direktion@lbs3.salzburg.at,+436624517530,+436624517531305,12.09.2020
LBS Salzburg 4,Landesberufsschule Salzburg 4,Bildung,Berufsschule,Schiessstattstraße 4,5020,Salzburg,Salzburg,sekretariat@lbs4.salzburg.at,+436624306160,+43662430616499,12.09.2020
LBS St. Johann,Landesberufsschule St. Johann,Bildung,Berufsschule,Sparkassenstraße 24,5600,St. Johann im Pongau,Salzburg,sekretariat@lbs-st-johann.salzburg.at,+4364126325105,+436412632520,12.09.2020
LBS Tamsweg,Landesberufsschule Tamsweg,Bildung,Berufsschule,Schießstattstraße 19,5580,Tamsweg,Salzburg,sekretariat@lbs-tamsweg.salzburg.at,+4364747078,+436474707820,12.09.2020
LBS Wals,Landesberufsschule Wals,Bildung,Berufsschule,Schulstraße 7,5071,Wals,Salzburg,sekretariat@lbs-wals.salzburg.at,+43662851376,+4366285137685,12.09.2020
LBS Zell am See,Landesberufsschule Zell am See,Bildung,Berufsschule,Schulstraße 4,5700,Zell am See,Salzburg,sekretariat@lbs-zell.salzburg.at,+436542726240,+436542726244,12.09.2020
FH Salzburg,Fachhochschule Salzburg GmbH,Bildung,Fachhochschule,Urstein Süd 1,5412,Puch bei Hallein,Salzburg,medien@fh-salzburg.ac.at,+435022110,+435022111099,24.08.2020
PMU,Paracelsus Medizinische Privatuniversität Salzburg – Privatstiftung,Bildung,Privatuniversität,Strubergasse 21,5020,Salzburg,Salzburg,datenschutz@pmu.ac.at,+4366224200,+43662242080009,24.08.2020
Uni Seeburg,Privatuniversität Schloss Seeburg GmbH,Bildung,Privatuniversität,Seeburgstraße 8,5201,Seekirchen,Salzburg,info@uni-seeburg.at,+43621226260,,24.08.2020
PH Salzburg,Pädagogische Hochschule Salzburg Stefan Zweig,Bildung,Pädagogische Hochschule,Akademiestraße 23-25,5020,Salzburg,Salzburg,office@phsalzburg.at,+4366263880,+4366263881010,24.08.2020
MOZ,Universität Mozarteum Salzburg,Bildung,Universität,Mirabellplatz 1,5020,Salzburg,Salzburg,info@moz.ac.at,+4366261980,+4366261983033,23.08.2020
Uni Salzburg,Paris-Lodron-Universität Salzburg,Bildung,Universität,Kapitelgasse 4,5020,Salzburg,Salzburg,datenschutz@sbg.ac.at,+4366280440,+436628044145,24.08.2020
KFA der Beamten der Gemeinde Bad Gastein,Krankenversicherungsfonds der Beamten der Gemeinde Bad Gastein,Gesundheit,Krankenfürsorgeanstalt,Kaiser-Franz-Josef-Straße 1,5640,Bad Gastein,Salzburg,,+436434374423,,20.08.2020
KFA der Beamten der Stadtgemeinde Hallein,Krankenfürsorgeeinrichtung der Beamten der Stadtgemeinde Hallein,Gesundheit,Krankenfürsorgeanstalt,Schöndorferplatz 14,5400,Hallein,Salzburg,stadtamt@hallein.gv.at,+4362458988168,,20.08.2020
KFA der Magistratsbeamten der Landeshauptstadt Salzburg,Krankenfürsorgeanstalt der Magistratsbeamten der Landeshauptstadt Salzburg,Gesundheit,Krankenfürsorgeanstalt,Mirabellplatz 4,5024,Salzburg,Salzburg,kfa@stadt-salzburg.at,+4366280722530,,20.08.2020
Landespolizeidirektion Salzburg,Landespolizeidirektion Salzburg,Infrastruktur,Polizei,Alpenstraße 90,5020,Salzburg,Salzburg,LPD-S@polizei.gv.at,+4359133500,+4359133507800,19.08.2020
Apothekerkammer Salzburg,Apothekerkammer Salzburg,Interessensvertretung,Kammer,Alpenstraße 112/2,5020,Salzburg,Salzburg,salzburg@apothekerkammer.at,+43662627496,+4366262751314,18.08.2020
Arbeiterkammer Salzburg,Kammer für Arbeiter und Angestellte für Salzburg,Interessensvertretung,Kammer,Markus-Sittikus-Straße 10,5020,Salzburg,Salzburg,kontakt@ak-salzburg.at,+436628687,+43662876258,18.08.2020
Kammer der Steuerberater und Wirtschaftsprüfer Salzburg,Kammer der Steuerberater und Wirtschaftsprüfer Salzburg,Interessensvertretung,Kammer,Rainerstraße 5/3,5020,Salzburg,Salzburg,salzburg@ksw.or.at,+436628711680,+436628711683,18.08.2020
Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Interessensvertretung,Kammer,Kaarstraße 2/II,4040,Linz,Salzburg,linz@arching-zt.at,+43732738394,+437327383944,18.08.2020
Landeszahnärztekammer Salzburg,Landeszahnärztekammer Salzburg,Interessensvertretung,Kammer,Rochusgasse 4,5020,Salzburg,Salzburg,office@sbg.zahnaerztekammer.at,+43505115020,+43505115025,18.08.2020
Notariatskammer für Salzburg,Notariatskammer für Salzburg,Interessensvertretung,Kammer,Ignaz-Harrer-Straße 7,5020,Salzburg,Salzburg,salzburg@notariatskammer.at,+43662845359,+436628453594,18.08.2020
Rechtanswaltskammer Salzburg,Rechtanswaltskammer Salzburg,Interessensvertretung,Kammer,Imbergstraße 31C,5020,Salzburg,Salzburg,info@srak.at,+43662640042,+43662640428,18.08.2020
Salzburger Landarbeiterkammer,Salzburger Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft,Interessensvertretung,Kammer,"Schrannengasse 2/3/1, Postfach 11",5027,Salzburg,Salzburg,landarbeiterkammer@lak-sbg.at,+436628712320,+436628712324,18.08.2020
Wirtschaftskammer Salzburg,Wirtschaftskammer Salzburg,Interessensvertretung,Kammer,Julius-Raab-Platz 1,5027,Salzburg,Salzburg,info@wks.at,+4366288880,+436628888188,18.08.2020
Ärztekammer Salzburg,Ärztekammer Salzburg,Interessensvertretung,Kammer,Faberstraße 10,5020,Salzburg,Salzburg,aeksbg@aeksbg.at,+436628713270,+4366287132710,18.08.2020
Die Grünen,Die GRÜNEN Salzburg,Interessensvertretung,Partei,Glockengasse 6,5020,Salzburg,Salzburg,salzburg@gruene.at,+43662876337,+4366287633722,19.09.2020
FPÖ,"Die Freiheitlichen, Landespartei Salzburg",Interessensvertretung,Partei,Ginzkeyplatz 10/I/1/3,5020,Salzburg,Salzburg,salzburg@fpoe.at ,+436626281200,+4366262812033,19.09.2020
KPÖ,KPÖ PLUS Salzburg,Interessensvertretung,Partei,Elisabethstraße 11,5020,Salzburg,Salzburg,salzburg@kpoe-plus.at,,,19.09.2020
Liste SALZ,Dr. Christoph Ferch,Interessensvertretung,Partei,"Mirabellplatz 4, Zimmer 108",5024,Salzburg,Salzburg,kontakt@liste-salz.at,+4366280722851,,19.09.2020
NEOS,NEOS – Das Neue Österreich und Liberales Forum,Interessensvertretung,Partei,Haydnstraße 10,5020,Salzburg,Salzburg,salzburg@neos.eu,+4366488782432,,19.09.2020
SPÖ,Sozialdemokratische Partei Österreichs - Landesorganisation Salzburg,Interessensvertretung,Partei,Wartelsteinstrasse 1,5020,Salzburg,Salzburg,webseite.salzburg@spoe.at,+436624245000,+43662424500190,19.09.2020
ÖVP,Salzburger Volkspartei,Interessensvertretung,Partei,Merianstraße 13,5020,Salzburg,Salzburg,info@oevp-sbg.at,+4366286980,+436628698018,19.09.2020
BH Bruck-Mürzzuschlag,Bezirkshauptmannschaft Bruck-Mürzzuschlag,Bezirksbehörde,Administration,Dr.-Theodor-Körner-Straße 34,8600,Bruck an der Mur,Steiermark,bhbm@stmk.gv.at,+4338628990,+433862899550,19.08.2020
